	200	1000	2000	20000
37	5.0251256281407036e-05	0.0006030150753768845	0.0016080402010050243	0.0016080402010050243
38	0.00010050251256281407	0.0010050251256281404	0.0011557788944723615	0.0015577889447236173
39	5.0251256281407036e-05	0.0005025125628140704	0.0015075376884422103	0.0011055276381909543
40	0.0	0.0004020100502512563	0.0008040201005025125	0.0011055276381909543
41	0.0	0.00035175879396984926	0.0010050251256281404	0.0009045226130653264
42	0.0	0.0006532663316582915	0.0008040201005025125	0.0006532663316582915
43	0.0	0.0004020100502512563	0.00035175879396984926	0.0005527638190954774
44	5.0251256281407036e-05	0.00030150753768844223	0.0004020100502512563	0.00035175879396984926
45	0.0	0.00030150753768844223	0.00010050251256281407	0.0004522613065326633
46	0.0	0.00035175879396984926	0.0004020100502512563	0.00035175879396984926
47	0.0	0.00010050251256281407	0.0001507537688442211	0.0004522613065326633
48	0.0	5.0251256281407036e-05	0.0002512562814070352	0.0002512562814070352
49	0.0	5.0251256281407036e-05	0.0002512562814070352	0.00035175879396984926
50	0.0	5.0251256281407036e-05	0.0004522613065326633	0.0001507537688442211
51	0.0	0.0	0.00020100502512562814	0.00020100502512562814
52	0.0	0.0002512562814070352	5.0251256281407036e-05	0.0002512562814070352
53	0.0	0.0	0.00010050251256281407	5.0251256281407036e-05
54	0.0	0.0	0.00010050251256281407	0.0001507537688442211
55	0.0	0.0001507537688442211	5.0251256281407036e-05	0.00020100502512562814
56	0.0	0.0	0.0001507537688442211	0.0001507537688442211
57	0.0	0.0	0.0	0.0001507537688442211
58	0.0	0.0	5.0251256281407036e-05	0.00010050251256281407
59	0.0	0.0	5.0251256281407036e-05	5.0251256281407036e-05
60	0.0	0.0	0.0	0.0
61	0.0	0.0	0.0	0.0
62	0.0	0.0	0.0	0.0
63	0.0	0.0	5.0251256281407036e-05	0.0
64	0.0	0.0	0.0	0.0
65	0.0	0.0	0.0	0.0
66	0.0	0.0	0.0	0.0
67	0.0	0.0	0.0	0.0
68	0.0	0.0	0.0	0.00010050251256281407
69	0.0	0.0	5.0251256281407036e-05	0.0
70	0.0	0.0	0.0	0.0
71	0.0	0.0	0.0	0.0
72	0.0	5.0251256281407036e-05	0.0	0.0
73	0.0	0.0	0.0	0.0
74	0.0	0.0	0.0	0.0
75	0.0	0.0	0.0	0.0
76	0.0	0.0	0.0	0.0
77	0.0	0.0	0.0	0.0
78	0.0	0.0	0.0	0.0
79	0.0	0.0	0.0	0.0
80	0.0	0.0	0.0	0.0
81	0.0	0.0	0.0	0.0
82	0.0	0.0	0.0	0.0
83	0.0	0.0	0.0	0.0
84	0.0	0.0	0.0	0.0
85	0.0	0.0	0.0	0.0
86	0.0	0.0	0.0	0.0
87	0.0	0.0	0.0	0.0
88	0.0	0.0	0.0	0.0
89	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.0
91	0.0	0.0	0.0	0.0
92	0.0	0.0	0.0	0.0
93	0.0	0.0	0.0	0.0
94	0.0	0.0	0.0	0.0
95	0.0	0.0	0.0	0.0
96	0.0	0.0	0.0	0.0
97	0.0	0.0	0.0	0.0
98	0.0	0.0	0.0	0.0
99	0.0	0.0	0.0	0.0
100	0.0	0.0	0.0	0.0
101	0.0	0.0	0.0	0.0
102	0.0	0.0	0.0	0.0
103	0.0	0.0	0.0	0.0
104	0.0	0.0	0.0	0.0
105	0.0	0.0	0.0	0.0
106	0.0	0.0	0.0	0.0
107	0.0	0.0	0.0	0.0
108	0.0	0.0	0.0	0.0
109	0.0	0.0	0.0	0.0
